p_believe,share_propensity,belief_lability,resistance,pid,story
0.65,0.55,0.2,0.3,0,fake
0.65,0.4,0.2,0.3,0,true
0.65,0.55,0.2,0.3,1,fake
0.4,0.2,0.1,0.3,1,true
0.35,0.25,0.15,0.6,2,fake
0.45,0.3,0.2,0.4,2,true
0.45,0.3,0.15,0.55,3,fake
0.55,0.35,0.2,0.4,3,true
0.65,0.7,0.15,0.2,4,fake
0.7,0.65,0.2,0.3,4,true
0.3,0.2,0.05,0.6,5,fake
0.45,0.2,0.1,0.6,5,true
0.45,0.4,0.3,0.35,6,fake
0.4,0.3,0.2,0.5,6,true
0.75,0.65,0.2,0.8,7,fake
0.65,0.55,0.4,0.8,7,true
0.45,0.4,0.15,0.2,8,fake
0.65,0.4,0.2,0.3,8,true
0.35,0.2,0.15,0.6,9,fake
0.45,0.2,0.15,0.6,9,true
0.7,0.6,0.4,0.2,10,fake
0.7,0.6,0.2,0.8,10,true
0.4,0.3,0.1,0.2,11,fake
0.6,0.2,0.05,0.1,11,true
0.65,0.55,0.2,0.2,12,fake
0.65,0.45,0.2,0.2,12,true
0.4,0.3,0.2,0.5,13,fake
0.45,0.15,0.2,0.4,13,true
0.25,0.15,0.05,0.2,14,fake
0.4,0.2,0.1,0.3,14,true
0.45,0.3,0.2,0.4,15,fake
0.45,0.3,0.1,0.4,15,true
0.35,0.2,0.15,0.4,16,fake
0.35,0.2,0.05,0.6,16,true
0.65,0.7,0.3,0.25,17,fake
0.7,0.6,0.2,0.3,17,true
0.65,0.6,0.3,0.5,18,fake
0.65,0.45,0.2,0.6,18,true
0.45,0.3,0.15,0.75,19,fake
0.65,0.4,0.3,0.75,19,true
0.3,0.2,0.1,0.6,20,fake
0.45,0.2,0.1,0.4,20,true
0.45,0.3,0.2,0.8,21,fake
0.55,0.3,0.15,0.75,21,true
0.65,0.7,0.2,0.1,22,fake
0.75,0.65,0.2,0.8,22,true
0.75,0.65,0.4,0.2,23,fake
0.75,0.6,0.2,0.4,23,true
0.65,0.55,0.2,0.7,24,fake
0.65,0.4,0.2,0.6,24,true
