variant,cf,n_reps,mean_delta,std_delta,t_statistic,t_pvalue,t_note,wilcoxon_W,wilcoxon_pvalue,wilcoxon_note,cohen_d
abm_llm,fake_emotionality_+0.2,20,0.0072499999999999995,0.04323969302193964,0.7498431049752287,0.46253381229811863,,50.5,0.2266030606521855,,0.1676700155184122
pure_abm,fake_emotionality_+0.2,20,0.010999999999999989,0.024687520819444902,1.9926462387526784,0.060864564627463154,,30.0,0.09198342797277625,,0.4455692444960265
pure_llm,fake_emotionality_+0.2,20,0.0,0.0,0.0,1.0,"zero variance, mean=0",,,all zero / empty,
abm_llm,fake_emotionality_-0.2,20,-0.05974999999999999,0.10380238056290575,-2.57421960712444,0.018578173599289954,,40.0,0.015940815260644503,,-0.575613003054305
pure_abm,fake_emotionality_-0.2,20,-0.04699999999999999,0.11593328389979068,-1.813028862933466,0.08565781909873038,,62.0,0.1124066064923589,,-0.4054055782688379
pure_llm,fake_emotionality_-0.2,20,0.0,0.0,0.0,1.0,"zero variance, mean=0",,,all zero / empty,
abm_llm,media_literacy_+0.2,20,-0.022499999999999985,0.058004083340834914,-1.7347581961811949,0.09897726583102325,,44.0,0.07406689727325955,,-0.38790372511860677
pure_abm,media_literacy_+0.2,20,-0.013749999999999998,0.052562619297067154,-1.1698783318561767,0.25651628845384367,,65.0,0.38171101821044984,,-0.2615927475434469
pure_llm,media_literacy_+0.2,20,0.0,0.0,0.0,1.0,"zero variance, mean=0",,,all zero / empty,
abm_llm,media_literacy_-0.2,20,0.018500000000000003,0.03822027568822873,2.164676043741182,0.04335248706264104,,14.5,0.03288642601643088,,0.48403627830705903
pure_abm,media_literacy_-0.2,20,0.015749999999999983,0.029302191403590104,2.403784082941096,0.0265948632369949,,21.5,0.03040210774375951,,0.5375024612688283
pure_llm,media_literacy_-0.2,20,0.0,0.0,0.0,1.0,"zero variance, mean=0",,,all zero / empty,
