variant,cf,mean_delta,std_delta,median_delta,q25_delta,q75_delta,min_delta,max_delta,n_reps,iqr_delta,abs_mean_delta,noise_to_signal
abm_llm,fake_emotionality_+0.2,-0.011666666666666659,0.05668300418082092,0.0,0.0,0.0,-0.16666666666666663,0.050000000000000044,10,0.0,0.011666666666666659,4.85854321549894
abm_llm,fake_emotionality_-0.2,-0.06166666666666666,0.0666898107974339,-0.033333333333333326,-0.12083333333333332,-0.004166666666666652,-0.16666666666666663,0.0,10,0.11666666666666667,0.06166666666666666,1.081456391309739
abm_llm,media_literacy_+0.2,-0.004999999999999993,0.011249142628509207,0.0,0.0,0.0,-0.033333333333333326,0.0,10,0.0,0.004999999999999993,2.249828525701844
abm_llm,media_literacy_-0.2,-0.011666666666666659,0.05668300418082092,0.0,0.0,0.0,-0.16666666666666663,0.050000000000000044,10,0.0,0.011666666666666659,4.85854321549894
pure_abm,fake_emotionality_+0.2,0.0033333333333333435,0.007027283689263087,0.0,0.0,0.0,0.0,0.01666666666666672,10,0.0,0.0033333333333333435,2.1081851067789197
pure_abm,fake_emotionality_-0.2,-0.0033333333333333327,0.013146843962443604,0.0,0.0,0.0,-0.033333333333333326,0.01666666666666672,10,0.0,0.0033333333333333327,3.944053188733082
pure_abm,media_literacy_+0.2,-0.015000000000000003,0.0308820935770829,0.0,-0.024999999999999994,0.0,-0.08333333333333337,0.01666666666666672,10,0.024999999999999994,0.015000000000000003,2.0588062384721932
pure_abm,media_literacy_-0.2,0.0033333333333333435,0.007027283689263087,0.0,0.0,0.0,0.0,0.01666666666666672,10,0.0,0.0033333333333333435,2.1081851067789197
pure_llm,fake_emotionality_+0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,
pure_llm,fake_emotionality_-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,
pure_llm,media_literacy_+0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,
pure_llm,media_literacy_-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,
